"genes"	"sample1"	"SRR1748411"	"SRR1748412"	"SRR1873277"
"328"	"2610019E17Rik"	0.0116666666666667	0.577450980392157	0.75	0.833333333333333
"329"	"2610020C07Rik"	NA	0.0823529411764706	0.05	0.110526315789474
"330"	"2610020H08Rik"	NA	0.0568627450980392	0.1125	0.0824561403508772
"331"	"2610021A01Rik"	NA	0.118627450980392	0.1	0.129824561403509
"332"	"2610027K06Rik"	NA	0.000980392156862745	0.0125	NA
"333"	"2610028E06Rik"	0.00166666666666667	0.00294117647058824	0.0125	0.00701754385964912
"334"	"2610028H24Rik"	0.00166666666666667	0.00196078431372549	NA	NA
"335"	"2610034B18Rik"	0.00166666666666667	0.21078431372549	0.275	0.205263157894737
"336"	"2610035D17Rik"	NA	0.00784313725490196	0.025	0.0210526315789474
"337"	"2610037D02Rik"	0.00833333333333333	0.0323529411764706	0.0375	0.0333333333333333
"338"	"2610042L04Rik"	NA	0.00490196078431373	0.025	0.00350877192982456
"339"	"2610044O15Rik8"	NA	0.0176470588235294	0.025	0.0298245614035088
"340"	"2610203C20Rik"	0.0716666666666667	1.25882352941176	1.925	1.41754385964912
"341"	"2610204G22Rik"	NA	0.00490196078431373	NA	0.00350877192982456
"342"	"2610301B20Rik"	0.00333333333333333	0.158823529411765	0.2125	0.301754385964912
"343"	"2610305D13Rik"	0.0116666666666667	0.153921568627451	0.175	0.13859649122807
"344"	"2610307P16Rik"	0.00166666666666667	0.0215686274509804	0.025	0.0385964912280702
"345"	"2610316D01Rik"	NA	NA	NA	0.00175438596491228
"346"	"2610318N02Rik"	NA	0.0441176470588235	0.1125	0.0666666666666667
"347"	"2610507B11Rik"	0.015	0.408823529411765	0.525	0.640350877192982
"348"	"2610507I01Rik"	0.00166666666666667	0.00196078431372549	NA	0.00175438596491228
"349"	"2610528A11Rik"	NA	NA	0.025	NA
"350"	"2700012I20Rik"	NA	0.00392156862745098	0.0125	0.00175438596491228
